,index,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
1340,1341,48,Bahrain,2022,Population mid-year estimates (millions),1.47,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1341,1342,48,Bahrain,2022,Population mid-year estimates for males (millions),0.91,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1342,1343,48,Bahrain,2022,Population mid-year estimates for females (millions),0.56,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1343,1344,48,Bahrain,2022,Sex ratio (males per 100 females),162.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1344,1345,48,Bahrain,2022,Population aged 0 to 14 years old (percentage),20.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1345,1346,48,Bahrain,2022,Population aged 60+ years old (percentage),6.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1346,1347,48,Bahrain,2022,Population density,1880.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1347,1348,50,Bangladesh,2010,Population mid-year estimates (millions),148.39,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1348,1349,50,Bangladesh,2010,Population mid-year estimates for males (millions),74.21,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1349,1350,50,Bangladesh,2010,Population mid-year estimates for females (millions),74.18,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1350,1351,50,Bangladesh,2010,Sex ratio (males per 100 females),100,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1351,1352,50,Bangladesh,2010,Population aged 0 to 14 years old (percentage),33.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1352,1353,50,Bangladesh,2010,Population aged 60+ years old (percentage),6.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1353,1354,50,Bangladesh,2010,Population density,1140,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1354,1355,50,Bangladesh,2015,Population mid-year estimates (millions),157.83,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1355,1356,50,Bangladesh,2015,Population mid-year estimates for males (millions),78.54,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1356,1357,50,Bangladesh,2015,Population mid-year estimates for females (millions),79.29,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1357,1358,50,Bangladesh,2015,Sex ratio (males per 100 females),99,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1358,1359,50,Bangladesh,2015,Population aged 0 to 14 years old (percentage),30.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1359,1360,50,Bangladesh,2015,Population aged 60+ years old (percentage),7.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1360,1361,50,Bangladesh,2015,Population density,1212.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1361,1362,50,Bangladesh,2021,Population mid-year estimates (millions),169.36,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1362,1363,50,Bangladesh,2021,Population mid-year estimates for males (millions),84,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1363,1364,50,Bangladesh,2021,Population mid-year estimates for females (millions),85.36,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1364,1365,50,Bangladesh,2021,Sex ratio (males per 100 females),98.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1365,1366,50,Bangladesh,2021,Population aged 0 to 14 years old (percentage),26.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1366,1367,50,Bangladesh,2021,Population aged 60+ years old (percentage),9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1367,1368,50,Bangladesh,2021,Population density,1301,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1368,1369,50,Bangladesh,2021,Surface area (thousand km2),148,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
1369,1370,50,Bangladesh,2022,Population mid-year estimates (millions),171.19,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1370,1371,50,Bangladesh,2022,Population mid-year estimates for males (millions),84.86,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1371,1372,50,Bangladesh,2022,Population mid-year estimates for females (millions),86.33,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1372,1373,50,Bangladesh,2022,Sex ratio (males per 100 females),98.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1373,1374,50,Bangladesh,2022,Population aged 0 to 14 years old (percentage),26,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1374,1375,50,Bangladesh,2022,Population aged 60+ years old (percentage),9.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1375,1376,50,Bangladesh,2022,Population density,1315.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1376,1377,52,Barbados,2010,Population mid-year estimates (millions),0.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1377,1378,52,Barbados,2010,Population mid-year estimates for males (millions),0.13,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1378,1379,52,Barbados,2010,Population mid-year estimates for females (millions),0.14,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1379,1380,52,Barbados,2010,Sex ratio (males per 100 females),91.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1380,1381,52,Barbados,2010,Population aged 0 to 14 years old (percentage),20.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1381,1382,52,Barbados,2010,Population aged 60+ years old (percentage),16.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1382,1383,52,Barbados,2010,Population density,638.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1383,1384,52,Barbados,2015,Population mid-year estimates (millions),0.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1384,1385,52,Barbados,2015,Population mid-year estimates for males (millions),0.13,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1385,1386,52,Barbados,2015,Population mid-year estimates for females (millions),0.15,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1386,1387,52,Barbados,2015,Sex ratio (males per 100 females),91.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1387,1388,52,Barbados,2015,Population aged 0 to 14 years old (percentage),18.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1388,1389,52,Barbados,2015,Population aged 60+ years old (percentage),18.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1389,1390,52,Barbados,2015,Population density,646.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1390,1391,52,Barbados,2021,Population mid-year estimates (millions),0.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1391,1392,52,Barbados,2021,Population mid-year estimates for males (millions),0.13,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1392,1393,52,Barbados,2021,Population mid-year estimates for females (millions),0.15,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1393,1394,52,Barbados,2021,Sex ratio (males per 100 females),92.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1394,1395,52,Barbados,2021,Population aged 0 to 14 years old (percentage),17.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1395,1396,52,Barbados,2021,Population aged 60+ years old (percentage),22.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1396,1397,52,Barbados,2021,Population density,654,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1397,1398,52,Barbados,2021,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
1398,1399,52,Barbados,2022,Population mid-year estimates (millions),0.28,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1399,1400,52,Barbados,2022,Population mid-year estimates for males (millions),0.14,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1400,1401,52,Barbados,2022,Population mid-year estimates for females (millions),0.15,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1401,1402,52,Barbados,2022,Sex ratio (males per 100 females),92.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1402,1403,52,Barbados,2022,Population aged 0 to 14 years old (percentage),16.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1403,1404,52,Barbados,2022,Population aged 60+ years old (percentage),23.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1404,1405,52,Barbados,2022,Population density,655,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1405,1406,112,Belarus,2010,Population mid-year estimates (millions),9.73,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1406,1407,112,Belarus,2010,Population mid-year estimates for males (millions),4.51,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1407,1408,112,Belarus,2010,Population mid-year estimates for females (millions),5.22,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1408,1409,112,Belarus,2010,Sex ratio (males per 100 females),86.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1409,1410,112,Belarus,2010,Population aged 0 to 14 years old (percentage),14.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1410,1411,112,Belarus,2010,Population aged 60+ years old (percentage),19.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1411,1412,112,Belarus,2010,Population density,48,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1412,1413,112,Belarus,2015,Population mid-year estimates (millions),9.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1413,1414,112,Belarus,2015,Population mid-year estimates for males (millions),4.48,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1414,1415,112,Belarus,2015,Population mid-year estimates for females (millions),5.22,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1415,1416,112,Belarus,2015,Sex ratio (males per 100 females),86,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1416,1417,112,Belarus,2015,Population aged 0 to 14 years old (percentage),16.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1417,1418,112,Belarus,2015,Population aged 60+ years old (percentage),21.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1418,1419,112,Belarus,2015,Population density,47.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1419,1420,112,Belarus,2021,Population mid-year estimates (millions),9.58,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1420,1421,112,Belarus,2021,Population mid-year estimates for males (millions),4.42,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1421,1422,112,Belarus,2021,Population mid-year estimates for females (millions),5.16,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1422,1423,112,Belarus,2021,Sex ratio (males per 100 females),85.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1423,1424,112,Belarus,2021,Population aged 0 to 14 years old (percentage),16.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1424,1425,112,Belarus,2021,Population aged 60+ years old (percentage),24.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1425,1426,112,Belarus,2021,Population density,47.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1426,1427,112,Belarus,2021,Surface area (thousand km2),208,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
1427,1428,112,Belarus,2022,Population mid-year estimates (millions),9.54,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1428,1429,112,Belarus,2022,Population mid-year estimates for males (millions),4.39,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1429,1430,112,Belarus,2022,Population mid-year estimates for females (millions),5.14,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1430,1431,112,Belarus,2022,Sex ratio (males per 100 females),85.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1431,1432,112,Belarus,2022,Population aged 0 to 14 years old (percentage),16.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1432,1433,112,Belarus,2022,Population aged 60+ years old (percentage),24.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1433,1434,112,Belarus,2022,Population density,47,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1434,1435,56,Belgium,2010,Population mid-year estimates (millions),10.88,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1435,1436,56,Belgium,2010,Population mid-year estimates for males (millions),5.33,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1436,1437,56,Belgium,2010,Population mid-year estimates for females (millions),5.55,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1437,1438,56,Belgium,2010,Sex ratio (males per 100 females),96.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1438,1439,56,Belgium,2010,Population aged 0 to 14 years old (percentage),16.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1439,1440,56,Belgium,2010,Population aged 60+ years old (percentage),23.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1440,1441,56,Belgium,2010,Population density,359.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1441,1442,56,Belgium,2015,Population mid-year estimates (millions),11.25,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1442,1443,56,Belgium,2015,Population mid-year estimates for males (millions),5.53,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1443,1444,56,Belgium,2015,Population mid-year estimates for females (millions),5.72,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1444,1445,56,Belgium,2015,Sex ratio (males per 100 females),96.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1445,1446,56,Belgium,2015,Population aged 0 to 14 years old (percentage),17,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1446,1447,56,Belgium,2015,Population aged 60+ years old (percentage),24.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1447,1448,56,Belgium,2015,Population density,371.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1448,1449,56,Belgium,2021,Population mid-year estimates (millions),11.61,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1449,1450,56,Belgium,2021,Population mid-year estimates for males (millions),5.73,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1450,1451,56,Belgium,2021,Population mid-year estimates for females (millions),5.88,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1451,1452,56,Belgium,2021,Sex ratio (males per 100 females),97.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1452,1453,56,Belgium,2021,Population aged 0 to 14 years old (percentage),16.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1453,1454,56,Belgium,2021,Population aged 60+ years old (percentage),25.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1454,1455,56,Belgium,2021,Population density,383.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1455,1456,56,Belgium,2021,Surface area (thousand km2),31,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
1456,1457,56,Belgium,2022,Population mid-year estimates (millions),11.66,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1457,1458,56,Belgium,2022,Population mid-year estimates for males (millions),5.76,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1458,1459,56,Belgium,2022,Population mid-year estimates for females (millions),5.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1459,1460,56,Belgium,2022,Sex ratio (males per 100 females),97.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1460,1461,56,Belgium,2022,Population aged 0 to 14 years old (percentage),16.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1461,1462,56,Belgium,2022,Population aged 60+ years old (percentage),26.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1462,1463,56,Belgium,2022,Population density,385,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1463,1464,84,Belize,2010,Population mid-year estimates (millions),0.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1464,1465,84,Belize,2010,Population mid-year estimates for males (millions),0.16,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1465,1466,84,Belize,2010,Population mid-year estimates for females (millions),0.16,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1466,1467,84,Belize,2010,Sex ratio (males per 100 females),100.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1467,1468,84,Belize,2010,Population aged 0 to 14 years old (percentage),35.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1468,1469,84,Belize,2010,Population aged 60+ years old (percentage),5.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1469,1470,84,Belize,2010,Population density,14.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1470,1471,84,Belize,2015,Population mid-year estimates (millions),0.36,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1471,1472,84,Belize,2015,Population mid-year estimates for males (millions),0.18,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1472,1473,84,Belize,2015,Population mid-year estimates for females (millions),0.18,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
